CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,502876,,18747,,27314,456815,10917,1519,57,2538888,7670
Spain,158273,,16081,,55668,86524,7371,3385,344,355000,7593
Italy,147577,,18849,,30455,98273,3497,2441,312,906864,14999
France,124869,,13197,,24932,86740,7004,1913,202,333807,5114
Germany,122171,,2736,,53913,65522,4895,1458,33,1317887,15730
China,81953,46,3339,3,77525,1089,141,57,2,,
UK,73758,,8958,,344,64456,1559,1086,132,316836,4667
Iran,68192,,4232,,35465,28495,3969,812,50,242568,2888
Turkey,47029,,1006,,2423,43600,1667,558,12,307210,3643
Belgium,26667,,3019,,5568,18080,1278,2301,260,84248,7269
Switzerland,24551,,1002,,11100,12449,386,2837,116,178500,20625
Netherlands,23097,,2511,,250,20336,1424,1348,147,101534,5926
Canada,22148,,569,,6013,15566,557,587,15,383322,10156
Brazil,19943,154,1074,6,173,18696,296,94,5,62985,296
Portugal,15472,,435,,233,14804,226,1517,43,140863,13815
Austria,13561,1,319,,6064,7178,261,1506,35,134743,14961
Russia,11917,,94,,795,11028,8,82,0.6,1090000,7469
S. Korea,10450,,208,,7117,3125,55,204,4,503051,9812
Israel,10408,,95,,1183,9130,124,1202,11,117339,13557
Sweden,9685,,870,,381,8434,749,959,86,54700,5416
Ireland,8089,,287,,25,7777,194,1638,58,53000,10734
India,7600,,249,,774,6577,,6,0.2,189111,137
Ecuador,7161,,297,,368,6496,171,406,17,21568,1222
Chile,6501,,65,,1571,4865,70,340,3,72797,3808
Norway,6314,,113,,32,6169,70,1165,21,123170,22720
Australia,6238,,54,,3141,3043,74,245,2,338346,13269
Japan,6005,,99,,685,5221,109,47,0.8,64387,509
Poland,5955,,181,,318,5456,160,157,5,118295,3126
Peru,5897,,169,,1569,4159,130,179,5,56681,1719
Denmark,5819,,247,,1773,3799,113,1005,43,64731,11176
Czechia,5732,,119,,346,5267,98,535,11,114854,10725
Romania,5467,,270,,729,4468,183,284,14,55430,2881
Pakistan,4788,93,71,5,762,3955,50,22,0.3,57836,262
Malaysia,4346,,70,,1830,2446,69,134,2,69675,2153
Philippines,4195,,221,,140,3834,1,38,2,24500,224
Mexico,3844,403,233,39,633,2978,89,30,2,31492,244
Saudi Arabia,3651,,47,,685,2919,57,105,1,115585,3320
Indonesia,3512,,306,,282,2924,,13,1,17679,65
UAE,3360,,16,,418,2926,1,340,2,593095,59967
Luxembourg,3223,,54,,500,2669,30,5149,86,28273,45166
Serbia,3105,,71,,118,2916,136,355,8,14240,1630
Panama,2974,,74,,17,2883,104,689,17,11776,2729
Finland,2769,,48,,300,2421,82,500,9,41200,7436
Dominican Republic,2620,,126,,98,2396,147,242,12,7936,732
Thailand,2518,45,35,2,1135,1348,61,36,0.5,71860,1030
Qatar,2512,,6,,227,2279,37,872,2,45339,15737
Ukraine,2511,308,73,4,79,2359,33,57,2,23522,538
Colombia,2473,,80,,197,2196,85,49,2,37593,739
Singapore,2108,,7,,492,1609,29,360,1,72680,12423
Greece,2011,,92,,269,1650,77,193,9,35532,3409
South Africa,2003,,24,,410,1569,7,34,0.4,73028,1231
Belarus,1981,,19,,169,1793,72,210,2,53000,5609
Argentina,1975,,82,,375,1518,96,44,2,16379,362
Egypt,1794,,135,,384,1275,,18,1,25000,244
Algeria,1761,,256,,405,1100,46,40,6,3359,77
Iceland,1675,,7,,751,917,11,4909,21,34125,100002
Croatia,1495,,21,,231,1243,34,364,5,14612,3559
Morocco,1448,,107,,122,1219,1,39,3,7239,196
Moldova,1438,,29,,56,1353,80,356,7,6271,1555
New Zealand,1312,29,4,2,422,886,5,272,0.8,58746,12182
Hungary,1310,120,85,8,115,1110,17,136,9,31961,3308
Iraq,1279,,70,,550,659,,32,2,32158,800
Estonia,1258,,24,,93,1141,9,948,18,27883,21019
Slovenia,1160,,45,,137,978,36,558,22,33047,15896
Lithuania,1026,27,23,1,54,949,14,377,8,38472,14132
Bahrain,998,73,6,,551,441,3,587,4,57681,33899
Kuwait,993,,1,,133,859,26,233,0.2,,
Azerbaijan,991,,10,,159,822,27,98,1,61342,6050
Hong Kong,990,,4,,309,677,15,132,0.5,96709,12900
Armenia,937,,12,,149,776,30,316,4,6081,2052
Bosnia and Herzegovina,901,,36,,129,736,4,275,11,6911,2106
Kazakhstan,840,28,10,,64,766,21,45,0.5,61955,3300
Cameroon,820,,12,,98,710,,31,0.5,,
Slovakia,715,,2,,23,690,5,131,0.4,22957,4205
Diamond Princess,712,,11,,619,82,10,,,,
North Macedonia,711,,32,,41,638,15,341,15,6571,3154
Tunisia,671,,25,,25,621,78,57,2,10087,853
Uzbekistan,669,45,3,,42,624,8,20,0.09,70000,2091
Bulgaria,648,13,26,1,62,560,32,93,4,18502,2663
Latvia,612,,3,,16,593,3,324,2,26656,14132
Lebanon,609,,20,,76,513,28,89,3,13530,1982
Andorra,601,,26,,71,504,17,7778,337,1673,21653
Cyprus,595,,10,,58,527,11,493,8,16308,13507
Cuba,564,,15,,51,498,11,50,1,12023,1061
Costa Rica,558,,3,,42,513,13,110,0.6,6298,1236
Oman,546,62,3,,109,434,3,107,0.6,,
Afghanistan,521,,15,,32,474,,13,0.4,,
Uruguay,494,21,7,,214,273,15,142,2,7496,2158
Ivory Coast,480,,3,,54,423,,18,0.1,,
Burkina Faso,448,,26,,149,273,,21,1,,
Niger,438,,11,,41,386,,18,0.5,4298,178
Bangladesh,424,,27,,33,364,1,3,0.2,7359,45
Albania,416,,23,,182,211,7,145,8,3385,1176
Channel Islands,398,,9,,40,349,,2289,52,3320,19095
Honduras,392,10,24,1,7,361,10,40,2,1600,162
Taiwan,385,3,6,,99,280,,16,0.3,45436,1908
Reunion,382,,,,40,342,3,427,,,
Ghana,378,,6,,4,368,2,12,0.2,37405,1204
Jordan,372,,7,,170,195,5,36,0.7,17000,1666
Malta,350,,2,,16,332,4,793,5,13732,31100
San Marino,344,,34,,50,260,14,10138,1002,846,24933
Kyrgyzstan,339,41,5,,44,290,5,52,0.8,9618,1474
Mauritius,318,,9,,23,286,3,250,7,6730,5292
Nigeria,305,,7,,58,240,2,1,0.03,5000,24
Bolivia,268,,19,,2,247,3,23,2,591,51
Palestine,268,1,2,,46,220,,53,0.4,16068,3150
Senegal,265,,2,,137,126,1,16,0.1,,
Montenegro,257,,2,,4,251,7,409,3,2329,3708
Vietnam,257,,,,144,113,8,3,,118807,1221
Georgia,234,,3,,54,177,6,59,0.8,3271,820
DRC,223,,20,,16,187,,2,0.2,,
Guinea,212,,,,15,197,,16,,,
Isle of Man,201,,1,,103,97,11,2364,12,1934,22744
Sri Lanka,197,7,7,,54,136,5,9,0.3,3248,152
Mayotte,191,,2,,50,139,4,700,7,1300,4765
Kenya,189,,7,,22,160,2,4,0.1,5278,98
Faeroe Islands,184,,,,145,39,,3766,,5408,110677
Venezuela,175,,9,,84,82,6,6,0.3,159597,5613
Martinique,155,,6,,50,99,19,413,16,,
Djibouti,150,,1,,36,113,,152,1,3740,3785
Guadeloupe,143,,8,,67,68,13,357,20,,
