CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,619331,5445,27176,1129,47069,545086,13473,1871,82,3145750,9504
Spain,177633,3573,18579,324,70853,88201,7371,3799,397,600000,12833
Italy,165155,2667,21645,578,38092,105418,3079,2732,358,1117404,18481
France,143303,,15729,,28805,98769,6730,2195,241,333807,5114
Germany,133154,944,3592,97,72600,56962,4288,1589,43,1317887,15730
UK,98476,4603,12868,761,N/A,85264,1559,1451,190,398916,5876
China,82295,46,3342,1,77816,1137,113,57,2,,
Iran,76389,1512,4777,94,49933,21679,3643,909,57,299204,3562
Turkey,69392,4281,1518,115,5674,62200,1820,823,18,477716,5664
Belgium,33573,2454,4440,283,7107,22026,1204,2897,383,128132,11056
Netherlands,28153,734,3134,189,250,24769,1279,1643,183,134972,7877
Canada,27593,530,954,51,8592,18047,557,731,25,450717,11942
Switzerland,26336,400,1239,65,15400,9697,386,3043,143,199000,22993
Brazil,26113,851,1590,58,14026,10497,296,123,7,62985,296
Russia,24490,3388,198,28,1986,22306,8,168,1,1517992,10402
Portugal,18091,643,599,32,383,17109,208,1774,59,191680,18798
Austria,14331,105,393,9,8098,5840,232,1591,44,156801,17410
India,12320,833,405,12,1432,10483,,9,0.3,244893,177
Israel,12200,154,126,3,2309,9765,176,1410,15,117339,13557
Sweden,11927,482,1203,170,381,10343,954,1181,119,74600,7387
Ireland,11479,,406,,77,10996,194,2325,82,90646,18358
S. Korea,10591,27,225,3,7616,2750,55,207,4,534552,10426
Peru,10303,,230,,2869,7204,132,312,7,102216,3100
Chile,8273,356,94,2,2937,5242,389,433,5,91873,4806
Japan,8100,215,146,,853,7101,152,64,1,89551,708
Ecuador,7858,255,388,19,780,6690,135,445,22,26093,1479
Poland,7582,380,286,23,668,6628,160,200,8,156493,4135
Romania,7216,337,362,11,1217,5637,245,375,19,74827,3890
Norway,6740,117,145,6,32,6563,59,1243,27,130216,24020
Denmark,6681,170,309,10,2748,3624,89,1153,53,77712,13417
Australia,6447,47,63,2,3686,2698,76,253,2,371377,14564
Czechia,6216,105,166,5,819,5231,84,580,16,137672,12856
Pakistan,5988,151,107,11,1446,4435,46,27,0.5,73439,332
Saudi Arabia,5862,493,79,6,931,4852,71,168,2,150000,4309
Philippines,5453,230,349,14,353,4751,1,50,3,45486,415
Mexico,5399,385,406,74,2125,2868,207,42,3,40091,311
Indonesia,5136,297,469,10,446,4221,,19,2,36000,132
Malaysia,5072,85,83,1,2647,2342,56,157,3,87183,2694
UAE,4933,,28,,933,3972,1,499,3,648195,65538
Serbia,4873,408,99,5,400,4374,128,558,11,26278,3008
Ukraine,3764,392,108,10,143,3513,45,86,2,39084,894
Belarus,3728,447,36,3,203,3489,68,395,4,76198,8064
Qatar,3711,283,7,,406,3298,37,1288,2,54484,18911
Singapore,3699,447,10,,652,3037,29,632,2,72680,12423
