CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
World,2658794,23078,185440,1374,730039,1743315,57981,341,23.8,,
USA,849092,375,47684,25,84050,717358,14016,2565,144,4326648,13071
Spain,213024,4635,22157,440,89250,101617,7705,4556,474,930230,19896
Italy,187327,,25085,,54543,107699,2384,3098,415,1513251,25028
France,159877,,21340,,40657,97880,5218,2449,327,463662,7103
Germany,150773,125,5319,4,103300,42154,2908,1800,63,2072669,24738
UK,133495,,18100,,N/A,115051,1559,1966,267,559935,8248
Turkey,98674,,2376,,16477,79821,1814,1170,28,750944,8904
Iran,87026,1030,5481,90,64843,16702,3105,1036,65,389507,4637
China,82798,10,4632,,77207,959,63,58,3,,
Russia,62773,4774,555,42,4891,57327,2300,430,4,2401616,16457
Brazil,46348,591,2934,28,25318,18096,8318,218,14,291922,1373
Belgium,42797,908,6490,228,9800,26507,993,3693,560,171400,14789
Canada,40190,,1974,,13986,24230,557,1065,52,612192,16220
Netherlands,35729,887,4177,123,N/A,31302,1050,2085,244,171415,10004
Switzerland,28496,228,1509,,19900,7087,386,3293,174,227554,26293
Portugal,22353,371,820,35,1201,20332,204,2192,80,300525,29473
India,21797,427,681,,4376,16740,,16,0.5,500542,363
Peru,19250,,530,,7027,11693,396,584,16,170400,5168
Sweden,16755,751,2021,84,550,14184,515,1659,200,94500,9357
Ireland,16671,,769,,9233,6669,147,3376,156,111584,22598
Austria,15002,77,522,12,11694,2786,169,1666,58,205835,22854
Israel,14592,94,191,2,5334,9067,136,1686,22,240303,27763
Saudi Arabia,12772,,114,,1812,10846,82,367,3,200000,5745
Japan,11950,,299,,1424,10227,241,94,2,130587,1033
Chile,11296,,160,,5386,5750,399,591,8,128722,6734
Singapore,11178,1037,12,,896,10270,27,1911,2,94796,16203
Ecuador,10850,,537,,1262,9051,141,615,30,34840,1975
S. Korea,10702,8,240,2,8411,2051,55,209,5,583971,11390
Mexico,10544,1043,970,113,2627,6947,378,82,8,49570,384
Pakistan,10513,437,224,12,2337,7952,60,48,1,124549,564
Poland,10346,177,435,9,1740,8171,160,273,11,250719,6625
Romania,10096,386,527,3,2478,7091,236,525,27,113336,5891
UAE,8756,518,56,4,1637,7063,1,885,6,790000,79875
Denmark,8073,161,384,,5087,2602,80,1394,66,116621,20134
Indonesia,7775,357,647,12,960,6168,,28,2,59935,219
Qatar,7764,623,10,,750,7004,72,2695,3,73457,25497
Norway,7338,,189,2,32,7117,54,1354,35,148656,27421
Belarus,7281,,58,,769,6454,92,771,6,114955,12165
Ukraine,7170,578,187,13,504,6479,45,164,4,72296,1653
Czechia,7136,4,210,2,2002,4924,76,666,20,195725,18277
Serbia,7114,,134,,1025,5955,101,814,15,48636,5566
Philippines,6981,271,462,16,722,5797,1,64,4,72346,660
Australia,6661,12,75,1,5045,1541,45,261,3,466659,18300
Malaysia,5603,71,95,2,3542,1966,42,173,3,117406,3627
Dominican Republic,5300,,260,,581,4459,135,489,24,18261,1683
Panama,4992,171,144,3,255,4593,97,1157,33,22702,5261
Colombia,4356,,206,,870,3280,98,86,4,71500,1405
Finland,4284,155,172,23,2000,2112,60,773,31,71000,12814
Bangladesh,4186,414,127,7,108,3951,1,25,0.8,36090,219
Egypt,3659,,276,,935,2448,,36,3,55000,537
Luxembourg,3654,,80,,711,2863,32,5837,128,36087,57649
South Africa,3635,,65,,1055,2515,36,61,1,133774,2256
Morocco,3537,91,151,2,430,2956,1,96,4,20832,564
Argentina,3288,,159,,872,2257,123,73,4,39228,868
Algeria,2910,,402,,1204,1304,40,66,9,6500,148
Thailand,2839,13,50,1,2430,359,61,41,0.7,142589,2043
Moldova,2778,,76,1,661,2041,212,689,19,11763,2916
Greece,2408,,121,,577,1710,55,231,12,56944,5463
Kuwait,2399,151,14,1,498,1887,55,562,3,,
Hungary,2284,116,239,14,390,1655,61,236,25,55390,5734
Kazakhstan,2251,116,20,1,549,1682,29,120,1,153492,8175
Bahrain,2027,,7,,1026,994,2,1191,4,97796,57474
Croatia,1981,31,50,2,883,1048,19,483,12,28853,7028
Iceland,1785,,10,,1462,313,5,5231,29,44468,130312
Oman,1716,102,8,,307,1401,3,336,2,,
Uzbekistan,1716,,7,,486,1223,8,51,0.2,150000,4482
Iraq,1631,,83,,1146,402,,41,2,62880,1563
Estonia,1592,33,45,1,192,1355,7,1200,34,45181,34059
Azerbaijan,1548,30,20,,948,580,14,153,2,108221,10674
Armenia,1523,50,24,,659,840,10,514,8,15960,5386
New Zealand,1451,3,16,2,1065,370,2,301,3,101277,21002
Bosnia and Herzegovina,1413,45,54,1,485,874,4,431,16,21432,6533
Lithuania,1398,28,38,,399,961,17,514,14,83591,30706
Slovenia,1366,13,79,,211,1076,23,657,38,45703,21984
Slovakia,1325,81,15,1,288,1022,9,243,3,57421,10517
North Macedonia,1300,41,56,,301,943,14,624,27,13649,6551
Afghanistan,1226,50,40,,177,1009,7,31,1,6422,165
Cuba,1189,,40,,341,808,16,105,4,30416,2685
Cameroon,1163,,43,,397,723,33,44,2,,
Ghana,1154,,9,,99,1046,4,37,0.3,68591,2207
Bulgaria,1081,57,50,1,190,841,37,156,7,27000,3886
Hong Kong,1036,2,4,,699,333,9,138,0.5,131786,17579
Djibouti,974,,2,,183,789,,986,2,10272,10397
Ivory Coast,952,,14,,310,628,,36,0.5,,
Tunisia,909,,38,,190,681,32,77,3,18861,1596
Nigeria,873,,28,,197,648,2,4,0.1,8003,39
Cyprus,790,,13,,98,679,15,654,11,37081,30712
Latvia,778,17,11,,133,634,6,412,6,41041,21759
Guinea,761,,6,,164,591,,58,0.5,,
Andorra,723,,37,,309,377,17,9357,479,1673,21653
Diamond Princess,712,,13,,645,54,4,,,,
