CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,588465,1524,23711,71,37326,527428,12772,1778,72,2961818,8948
Spain,172541,2442,18056,300,67504,86981,7371,3690,386,600000,12833
Italy,159516,,20465,,35435,103616,3260,2638,338,1046910,17315
France,136779,,14967,,27718,94094,6821,2095,229,333807,5114
Germany,130434,362,3220,26,68200,59014,4288,1557,38,1317887,15730
UK,93873,5252,12107,778,N/A,81422,1559,1383,178,382650,5637
China,82249,89,3341,,77738,1170,116,57,2,,
Iran,74877,1574,4683,98,48129,22065,3691,891,56,287359,3421
Turkey,61049,,1296,,3957,55796,1786,724,15,410556,4868
Belgium,31119,530,4157,254,6868,20094,1223,2685,359,102151,8814
Netherlands,27419,868,2945,122,250,24224,1358,1600,172,134972,7877
Switzerland,25913,225,1162,24,13700,11051,386,2994,134,199000,22993
Canada,25680,,780,,7756,17144,557,680,21,437475,11591
Brazil,23955,525,1361,33,2979,19615,296,113,6,62985,296
Russia,21102,2774,170,22,1694,19238,8,145,1,1400000,9593
Portugal,17448,514,567,32,347,16534,218,1711,56,182707,17918
Austria,14159,118,384,16,7633,6142,243,1572,43,151796,16854
Israel,11868,282,117,1,2000,9751,181,1371,14,117339,13557
Sweden,11445,497,1033,114,381,10031,915,1133,102,54700,5416
Ireland,10647,,365,,25,10257,194,2156,74,72000,14581
S. Korea,10564,27,222,5,7534,2808,55,206,4,527438,10288
India,10541,88,358,,1205,8978,,8,0.3,206212,149
Peru,9784,,216,,2642,6926,143,297,7,87116,2642
Japan,7645,27,143,,799,6703,135,60,1,78702,622
Ecuador,7529,,355,,597,6577,121,427,20,24553,1392
Chile,7525,,82,,2367,5076,387,394,4,85035,4448
Poland,7049,115,251,6,618,6180,160,186,7,148321,3919
Romania,6879,246,351,20,1051,5477,241,358,18,70097,3644
Norway,6623,20,139,5,32,6452,59,1222,26,128569,23716
Denmark,6496,178,299,14,2515,3682,100,1122,52,73919,12762
Australia,6400,41,61,,3598,2741,80,251,2,366493,14372
Czechia,6059,,147,4,527,5385,92,566,14,131542,12283
Pakistan,5837,341,96,3,1378,4363,46,26,0.4,69928,317
Saudi Arabia,5369,435,73,8,889,4407,59,154,2,115585,3320
Philippines,5223,291,335,20,295,4593,1,48,3,38103,348
Mexico,5014,353,332,36,1964,2718,207,39,3,37395,290
Malaysia,4987,170,82,5,2478,2427,60,154,3,81730,2525
Indonesia,4839,282,459,60,426,3954,,18,2,31628,116
UAE,4521,,25,,852,3644,1,457,3,648195,65538
Serbia,4465,411,94,9,400,3971,131,511,11,23398,2678
Panama,3472,,94,,61,3317,106,805,22,15567,3608
Qatar,3428,197,7,,373,3048,37,1190,2,52622,18265
Ukraine,3372,270,98,5,119,3155,45,77,2,35153,804
Luxembourg,3292,,69,,500,2723,30,5259,110,29315,46831
Dominican Republic,3286,119,183,6,162,2941,143,303,17,9275,855
Belarus,3281,362,33,4,203,3045,57,347,3,71875,7606
Singapore,3252,334,10,1,611,2631,29,556,2,72680,12423
Finland,3161,97,64,5,300,2797,74,571,12,47290,8535
Colombia,2852,,112,,319,2421,106,56,2,43053,846
Thailand,2613,34,41,1,1405,1167,61,37,0.6,100498,1440
South Africa,2415,143,27,,410,1978,7,41,0.5,87022,1467
Argentina,2277,,101,3,559,1617,83,50,2,22805,505
Egypt,2190,,164,,589,1437,,21,2,25000,244
