CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,792938,179,42518,4,72389,678031,13951,2396,128,4027367,12167
Spain,204178,3968,21282,430,82514,100382,7705,4367,455,930230,19896
Italy,181228,,24114,,48877,108237,2573,2997,399,1398024,23122
France,155383,,20265,,37409,97709,5683,2380,310,463662,7103
Germany,147103,38,4862,,95200,47041,2889,1756,58,1728357,20629
UK,124743,,16509,,N/A,107890,1559,1838,243,501379,7386
Turkey,90980,,2140,,13430,75410,1909,1079,25,673980,7991
Iran,84802,1297,5297,88,60965,18540,3357,1010,63,365723,4354
China,82758,11,4632,,77123,1003,82,57,3,,
Russia,52763,5642,456,51,3873,48434,700,362,3,2142604,14682
Belgium,40956,973,5998,170,9002,25956,1079,3534,518,167110,14419
Brazil,40814,71,2588,1,22991,15235,8318,192,12,291922,1373
Canada,36831,2,1690,,12586,22555,557,976,45,559578,14826
Netherlands,34134,729,3916,165,N/A,29968,1158,1992,229,171415,10004
Switzerland,28063,119,1436,7,18600,8027,386,3243,166,227554,26293
Portugal,21379,516,762,27,917,19700,213,2097,75,271962,26672
India,18985,446,603,11,3273,15109,,14,0.4,401586,291
Peru,16325,,445,,6968,8912,385,495,13,148011,4489
Ireland,15652,,687,,77,14888,294,3170,139,90646,18358
Sweden,15322,545,1765,185,550,13007,515,1517,175,74600,7387
Austria,14873,78,491,21,10971,3411,196,1651,55,189018,20987
Israel,13883,170,181,4,4353,9349,142,1604,21,240303,27763
Japan,11135,,263,,1239,9633,217,88,2,116725,923
S. Korea,10683,9,237,1,8213,2233,55,208,5,571014,11138
Chile,10507,,139,,4676,5692,377,550,7,118827,6216
Saudi Arabia,10484,,103,,1490,8891,88,301,3,180000,5170
Ecuador,10128,,507,,1150,8471,124,574,29,32453,1839
Poland,9737,144,385,5,1297,8055,160,257,10,224355,5928
Romania,9242,306,482,4,2153,6607,245,480,25,101552,5279
Pakistan,9216,324,192,16,2066,6958,46,42,0.9,111806,506
Singapore,9125,1111,11,,801,8313,23,1560,2,94796,16203
Mexico,8772,511,712,26,2627,5433,378,68,6,49570,384
UAE,7755,490,46,3,1443,6266,1,784,5,790000,79875
Denmark,7695,180,364,,4312,3019,84,1329,63,100543,17358
Norway,7156,,182,1,32,6942,56,1320,34,143255,26425
Indonesia,7135,375,616,26,842,5677,,26,2,49767,182
Czechia,6914,14,196,2,1597,5121,75,646,18,178617,16679
Australia,6645,20,71,,4685,1889,49,261,3,439000,17216
Serbia,6630,,125,,870,5635,108,759,14,41812,4785
Philippines,6599,140,437,9,654,5508,1,60,4,59928,547
Qatar,6533,518,9,,614,5910,37,2268,3,66725,23160
Belarus,6264,,51,,514,5699,92,663,5,102556,10853
Ukraine,6125,415,161,10,367,5597,45,140,4,61997,1418
Malaysia,5482,57,92,3,3349,2041,43,169,3,108216,3344
Dominican Republic,4964,,235,,416,4313,128,458,22,57809,5329
Panama,4658,191,136,10,204,4318,98,1080,32,20996,4866
Finland,4014,146,98,,2000,1916,67,724,18,61447,11090
Colombia,3977,,189,,804,2984,98,78,4,65169,1281
Luxembourg,3558,,75,,637,2846,32,5684,120,33798,53992
Bangladesh,3382,434,110,9,87,3185,1,21,0.7,29578,180
Egypt,3333,,250,,821,2262,,33,2,55000,537
South Africa,3300,,58,,1055,2187,36,56,1,121510,2049
Morocco,3186,140,144,1,359,2683,1,86,4,17204,466
Argentina,3031,,145,3,840,2046,123,67,3,34568,765
Thailand,2811,19,48,1,2108,655,61,40,0.7,142589,2043
Algeria,2718,,384,,1099,1235,40,62,9,6500,148
Moldova,2548,,72,2,505,1971,212,632,18,11763,2916
Greece,2245,,116,,577,1552,61,215,11,54344,5214
Hungary,2098,114,213,14,287,1598,82,217,22,50052,5181
Kuwait,2080,85,11,2,412,1657,46,487,3,,
Kazakhstan,1967,115,19,,476,1472,22,105,1,126727,6749
