CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,925758,526,52217,24,110432,763109,15097,2797,158,5037473,15219
Spain,219764,,22524,,92355,104885,7705,4700,482,930230,19896
Italy,192994,,25969,,60498,106527,2173,3192,430,1642356,27164
France,159828,,22245,,43493,94090,4870,2449,341,463662,7103
Germany,154999,,5760,,109800,39439,2908,1850,69,2072669,24738
UK,143464,,19506,,N/A,123614,1559,2113,287,612031,9016
Turkey,104912,,2600,,21737,80575,1790,1244,31,830257,9844
Iran,88194,,5574,,66599,16021,3121,1050,66,399927,4761
China,82816,12,4632,,77346,838,49,58,3,,
Russia,68622,,615,,5568,62439,2300,470,4,2550000,17474
Brazil,54043,1048,3704,34,27655,22684,8318,254,17,291922,1373
Belgium,44293,,6679,,10122,27492,970,3822,576,189067,16313
Canada,43888,,2302,,15469,26117,557,1163,61,660108,17490
Netherlands,36535,,4289,,N/A,31996,963,2132,250,187000,10913
Switzerland,28677,,1589,,21000,6088,386,3313,184,235252,27182
India,24530,83,780,,5498,18252,,18,0.6,579957,420
Portugal,22797,,854,,1228,20715,188,2236,84,315758,30967
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203
Peru,21648,,634,,7496,13518,505,657,19,198349,6016
Ireland,18184,,1014,,9233,7937,142,3683,205,111584,22598
Sweden,17567,,2152,,1005,14410,547,1739,213,94500,9357
Saudi Arabia,15102,,127,,2049,12926,93,434,4,200000,5745
Austria,15071,,530,,11872,2669,156,1673,59,212686,23615
Israel,15058,,194,,6003,8861,137,1740,22,302691,34971
Mexico,12872,1239,1221,152,7149,4502,378,100,9,51297,398
Japan,12829,117,345,,1530,10954,263,101,3,141600,1120
Chile,12306,,174,,6327,5805,408,644,9,142267,7442
Singapore,12075,,12,,956,11107,24,2064,2,94796,16203
Pakistan,11940,,253,,2755,8932,111,54,1,138147,625
Poland,10892,,494,,2126,8272,160,288,13,265201,7007
S. Korea,10718,10,240,,8635,1843,55,209,5,595161,11609
Romania,10417,,567,,2817,7033,241,541,29,121602,6321
UAE,9281,,64,,1760,7457,1,938,6,790000,79875
Belarus,8773,,63,,1120,7590,92,928,7,130824,13845
Qatar,8525,,10,,809,7706,72,2959,3,75888,26340
Indonesia,8211,,689,,1002,6520,,30,3,64054,234
Denmark,8210,,403,,5526,2281,69,1417,70,125329,21638
Ukraine,8125,478,201,8,782,7142,104,186,5,83577,1911
Serbia,7483,,144,,1094,6245,96,856,16,54887,6282
Norway,7463,,199,,32,7232,53,1377,37,155125,28614
Czechia,7273,,215,1,2389,4669,71,679,20,210705,19676
Philippines,7192,,477,,762,5953,1,66,4,76956,702
Australia,6692,17,80,1,5357,1255,43,262,3,491391,19270
Dominican Republic,5749,,267,,763,4719,135,530,25,18261,1683
Malaysia,5691,,96,,3663,1932,41,176,3,121722,3761
Panama,5338,172,154,8,319,4865,87,1237,36,24304,5633
Colombia,4881,,225,,1003,3653,117,96,4,78078,1534
Bangladesh,4689,,131,,112,4446,1,28,0.8,39476,240
Finland,4395,,177,,2500,1718,61,793,32,74500,13446
South Africa,4220,,79,,1473,2668,36,71,1,152390,2569
Egypt,4092,,294,,1075,2723,,40,3,90000,879
Morocco,3758,,158,,486,3114,1,102,4,23933,648
Luxembourg,3695,,85,,3007,603,25,5903,136,37782,60357
Argentina,3607,,176,,976,2455,123,80,4,44654,988
Algeria,3127,,415,,1408,1304,40,71,9,6500,148
Moldova,3110,,84,,755,2271,212,771,21,11763,2916
Thailand,2907,53,51,1,2547,309,61,42,0.7,142589,2043
Kuwait,2614,,15,,613,1986,60,612,4,,
Bahrain,2518,,8,,1113,1397,1,1480,5,107273,63043
Greece,2490,,130,,577,1783,48,239,12,61407,5891
Kazakhstan,2482,66,25,,604,1853,29,132,1,153492,8175
Hungary,2443,60,262,12,458,1723,61,253,27,60801,6294
Croatia,2009,,51,,982,976,19,489,12,30213,7360
Uzbekistan,1836,32,8,,621,1207,8,55,0.2,210000,6274
Oman,1790,,10,,325,1455,3,351,2,,
Iceland,1789,,10,,1542,237,5,5243,29,45286,132709
Iraq,1708,,86,,1204,418,,42,2,67293,1673
Estonia,1605,,46,,206,1353,6,1210,35,46281,34889
Armenia,1596,,27,,728,841,10,539,9,16552,5586
Azerbaijan,1592,,21,,1013,558,14,157,2,114410,11284
New Zealand,1461,5,18,1,1118,325,1,303,4,115015,23851
Cameroon,1430,,43,,668,719,20,54,2,,
Lithuania,1426,16,41,1,460,925,17,524,15,98948,36347
Bosnia and Herzegovina,1421,,55,,538,828,4,433,17,21432,6533
Slovenia,1373,,80,,211,1082,23,660,38,45703,21984
Slovakia,1360,,17,,355,988,8,249,3,61261,11221
Afghanistan,1351,,43,,188,1120,7,35,1,6422,165
North Macedonia,1326,,57,,337,932,14,636,27,13649,6551
Cuba,1285,,49,,416,820,11,113,4,36134,3190
Ghana,1279,,10,,134,1135,4,41,0.3,88188,2838
Bulgaria,1234,46,54,,197,983,37,178,8,27000,3886
Nigeria,1095,,32,,208,855,2,5,0.2,10061,49
Ivory Coast,1077,,14,,419,644,,41,0.5,,
Hong Kong,1036,,4,,725,307,7,138,0.5,131786,17579
Djibouti,999,,2,,330,667,,1011,2,11090,11225
Guinea,954,,6,,191,757,,73,0.5,,
Tunisia,922,,38,,194,690,20,78,3,19849,1679
Bolivia,807,104,44,1,54,709,3,69,4,4995,428
Cyprus,804,,14,,98,692,15,666,12,43542,36064
Latvia,804,20,12,,267,525,6,426,6,45743,24251
Andorra,731,,40,,344,347,17,9461,518,1673,21653
Diamond Princess,712,,13,,645,54,4,,,,
Lebanon,696,,22,,140,534,46,102,3,25337,3712
Costa Rica,687,,6,,216,465,7,135,1,12342,2423
Niger,681,,24,,289,368,,28,1,4832,200
Albania,678,,27,,394,257,4,236,9,6768,2352
Kyrgyzstan,665,9,8,,345,312,11,102,1,39615,6072
Burkina Faso,629,,41,,425,163,,30,2,,
Honduras,591,29,55,8,58,478,10,60,6,3457,349
Uruguay,563,,12,,369,182,9,162,3,15834,4558
Senegal,545,,7,,262,276,1,33,0.4,466,28
Channel Islands,523,,34,,295,194,,3008,196,3320,19095
San Marino,513,,40,,64,409,3,15119,1179,1929,56851
Palestine,484,,4,,92,388,,95,0.8,27000,5293
Georgia,456,12,5,,132,319,6,114,1,8375,2099
Malta,447,,4,1,223,220,2,1012,9,27422,62105
Jordan,441,,7,,326,108,5,43,0.7,61608,6038
Guatemala,430,46,11,,30,389,5,24,0.6,7200,402
Taiwan,429,1,6,,275,148,,18,0.3,59840,2513
Sri Lanka,420,3,7,,116,297,2,20,0.3,13142,614
Reunion,412,,,,300,112,2,460,,,
DRC,394,,25,,48,321,,4,0.3,,
Mayotte,354,,4,,144,206,4,1298,15,2200,8064
Kenya,336,,14,,94,228,2,6,0.3,16738,311
Mauritius,331,,9,,285,37,3,260,7,13374,10516
Somalia,328,,16,,8,304,2,21,1,,
Mali,325,,21,,87,217,,16,1,2172,107
Montenegro,319,,6,,123,190,7,508,10,5085,8096
Venezuela,318,,10,,132,176,4,11,0.4,394125,13860
Isle of Man,308,,18,,230,60,20,3622,212,2751,32352
Tanzania,299,,10,,48,241,7,5,0.2,,
Jamaica,288,31,7,,28,253,,97,2,2518,850
El Salvador,274,13,8,,75,191,2,42,1,17423,2686
Vietnam,270,,,,220,50,8,3,,206253,2119
Paraguay,223,3,9,,78,136,1,31,1,6917,970
Equatorial Guinea,214,,1,,7,206,,153,0.7,854,609
Congo,200,,6,,19,175,,36,1,,
Faeroe Islands,187,,,,178,9,,3827,,6458,132165
Rwanda,176,,,,87,89,,14,,6959,537
Sudan,174,,16,,14,144,,4,0.4,,
Gabon,172,,3,,26,143,1,77,1,572,257
Martinique,170,,14,,77,79,6,453,37,,
Guadeloupe,149,,12,,82,55,11,372,30,,
Myanmar,144,,5,,9,130,,3,0.09,6124,113
Brunei,138,,1,,120,17,2,315,2,12770,29190
Gibraltar,133,,,,131,2,,3948,,2105,62480
Maldives,129,,,,16,113,2,239,,5296,9798
Cambodia,122,,,,117,5,1,7,,5768,345
Madagascar,122,,,,61,61,1,4,,2357,85
Liberia,117,,8,,25,84,,23,2,,
Ethiopia,117,,3,,25,89,,1,0.03,11669,102
Trinidad and Tobago,115,,8,,48,59,,82,6,1501,1073
French Guiana,111,,1,,87,23,,372,3,,
Aruba,100,,2,,69,29,4,937,19,1577,14771
Bermuda,99,,5,,39,55,10,1590,80,949,15238
Monaco,94,,4,,41,49,2,2395,102,,
Togo,90,,6,,59,25,,11,0.7,4733,572
Cabo Verde,88,,1,,1,86,,158,2,791,1423
Zambia,84,,3,,37,44,1,5,0.2,2586,141
Sierra Leone,82,,2,,10,70,,10,0.3,,
Liechtenstein,81,,1,,55,25,,2124,26,900,23605
Barbados,77,,6,,31,40,4,268,21,1327,4618
Uganda,75,,,,46,29,,2,,18921,414
Sint Maarten,73,,12,,22,39,8,1703,280,266,6204
Bahamas,73,,11,,15,47,1,186,28,,
Guyana,73,,7,,12,54,5,93,9,375,477
Haiti,72,,6,1,6,60,,6,0.5,719,63
Cayman Islands,70,,1,,8,61,3,1065,15,940,14303
Mozambique,65,,,,12,53,,2,,1439,46
Libya,61,,2,,18,41,,9,0.3,1337,195
French Polynesia,57,,,,41,16,1,203,,2069,7365
Benin,54,,1,,27,26,,4,0.08,,
Guinea-Bissau,52,,,,3,49,,26,,1500,762
Nepal,49,,,,11,38,,2,,47497,1630
Macao,45,,,,27,18,1,69,,,
Syria,42,,3,,6,33,,2,0.2,,
Chad,40,,,,8,32,,2,,,
Eritrea,39,,,,11,28,,11,,,
Saint Martin,38,,3,,24,11,3,983,78,,
Mongolia,37,1,,,9,28,,11,,7292,2224
Eswatini,36,,1,,10,25,,31,0.9,714,615
Malawi,33,,3,,4,26,1,2,0.2,566,30
Zimbabwe,29,,4,,2,23,,2,0.3,5450,367
Angola,25,,2,,6,17,,0.8,0.06,,
Antigua and Barbuda,24,,3,,11,10,1,245,31,113,1154
Timor-Leste,24,,,,2,22,,18,,322,244
Botswana,22,,1,,,21,,9,0.4,5023,2136
Laos,19,,,,4,15,,3,,1611,221
Belize,18,,2,,5,11,1,45,5,816,2052
Fiji,18,,,,10,8,,20,,900,1004
New Caledonia,18,,,,17,1,1,63,,3952,13842
Curacao,16,,1,,11,4,,98,6,304,1853
CAR,16,,,,10,6,,3,,,
Dominica,16,,,,10,6,,222,,383,5320
Namibia,16,,,,7,9,,6,,590,232
Grenada,15,,,,7,8,4,133,,92,818
Saint Kitts and Nevis,15,,,,2,13,,282,,260,4887
Saint Lucia,15,,,,15,0,,82,,364,1982
St. Vincent Grenadines,14,,,,5,9,,126,,108,973
Falkland Islands,13,1,,,11,2,,3736,,353,101437
Nicaragua,11,,3,,7,1,,2,0.5,,
Burundi,11,,1,,4,6,,0.9,0.08,284,24
Montserrat,11,,1,1,2,8,1,2204,200,36,7212
Turks and Caicos,11,,1,,4,6,,284,26,83,2144
Greenland,11,,,,11,0,,194,,1150,20257
Seychelles,11,,,,6,5,,112,,,
Gambia,10,,1,,8,1,,4,0.4,401,166
Suriname,10,,1,,7,2,,17,2,404,689
MS Zaandam,9,,2,,,7,,,,,
Vatican City,9,,,,2,7,,11236,,,
Papua New Guinea,8,,,,,8,,0.9,,604,68
Mauritania,7,,1,,6,0,,2,0.2,1032,222
Bhutan,7,,,,3,4,,9,,8953,11603
St. Barth,6,,,,6,0,,607,,,
Western Sahara,6,,,,5,1,,10,,,
British Virgin Islands,5,,1,,3,1,,165,33,,
Caribbean Netherlands,5,,,,,5,,191,,110,4195
South Sudan,5,,,,,5,,0.4,,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Anguilla,3,,,,1,2,,200,,,
Saint Pierre Miquelon,1,,,,,1,,173,,,
Yemen,1,,,,1,0,,0.03,,120,4
