CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,960896,245,54265,9,118162,788469,15110,2903,164,5279237,15949
Spain,223759,,22902,,95708,105149,7705,4786,490,930230,19896
Italy,195351,,26384,,63120,105847,2102,3231,436,1707743,28245
France,161488,,22614,,44594,94280,4725,2474,346,463662,7103
Germany,156513,,5877,,109800,40836,2570,1868,70,2072669,24738
UK,148377,,20319,,N/A,127714,1559,2186,299,640792,9439
Turkey,107773,,2706,,25582,79485,1782,1278,32,868565,10298
Iran,89328,,5650,,68193,15485,3096,1064,67,410075,4882
China,82827,11,4632,,77394,801,51,58,3,,
Russia,74588,,681,,6250,67657,2300,511,5,2721500,18649
Brazil,59324,128,4057,12,29160,26107,8318,279,19,291922,1373
Canada,45354,,2465,,16425,26464,557,1202,65,684271,18130
Belgium,45325,,6917,,10417,27991,934,3911,597,189067,16313
Netherlands,37190,,4409,,N/A,32531,959,2170,257,193950,11319
Switzerland,28894,,1599,,21300,5995,204,3339,185,245300,28343
India,26496,213,825,,5939,19732,,19,0.6,625309,453
Peru,25331,,700,,7797,16834,545,768,21,218195,6618
Portugal,23392,,880,,1277,21235,186,2294,86,330512,32414
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203
Ireland,18561,,1063,,9233,8265,142,3759,215,127319,25785
Sweden,18177,,2192,,1005,14980,547,1800,217,94500,9357
Saudi Arabia,16299,,136,,2215,13948,115,468,4,200000,5745
Israel,15398,100,199,,6602,8597,132,1779,23,302691,34971
Austria,15148,,536,,12103,2509,148,1682,60,221098,24549
Mexico,13842,970,1305,84,7149,5388,378,107,10,65500,508
Singapore,13624,931,12,,1002,12610,24,2329,2,121774,20815
Japan,13231,,360,,1656,11215,287,105,3,147454,1166
Chile,12858,,181,,6746,5931,418,673,9,149212,7806
Pakistan,12723,,269,,2866,9588,111,58,1,144365,654
Poland,11273,,524,,2265,8484,160,298,14,278994,7372
S. Korea,10728,10,242,2,8717,1769,55,209,5,598285,11669
Romania,10635,,601,,2890,7144,235,553,31,126645,6583
UAE,9813,,71,,1887,7855,1,992,7,1022326,103365
Belarus,9590,,67,,1573,7950,92,1015,7,139295,14741
Qatar,9358,,10,,929,8419,72,3248,3,79705,27665
Ukraine,8617,492,209,8,840,7568,107,197,5,89373,2044
Indonesia,8607,,720,,1042,6845,,31,3,67828,248
Denmark,8445,,418,,5669,2358,70,1458,72,136738,23607
Serbia,7779,,151,,1152,6476,91,890,17,59938,6860
Norway,7499,6,201,,32,7266,50,1383,37,155125,28614
Czechia,7352,,219,1,2471,4662,79,687,20,215116,20087
Philippines,7294,,494,,792,6008,1,67,5,81292,742
Australia,6711,16,83,3,5539,1089,42,263,3,506449,19861
Dominican Republic,5926,,273,,822,4831,136,546,25,21284,1962
Malaysia,5742,,98,,3762,1882,36,177,3,126970,3923
Panama,5538,200,159,5,338,5041,85,1283,37,25400,5887
Colombia,5142,,233,,1067,3842,117,101,5,78078,1534
Bangladesh,4998,,140,,113,4745,1,30,0.9,43113,262
Finland,4475,,186,,2500,1789,60,808,34,77800,14041
South Africa,4361,,86,,1473,2802,36,74,1,161004,2715
Egypt,4319,,307,,1114,2898,,42,3,90000,879
Morocco,3897,,159,,537,3201,1,106,4,25443,689
Argentina,3780,,185,,1030,2565,144,84,4,47406,1049
Luxembourg,3711,,85,,3088,538,26,5928,136,38514,61526
Moldova,3304,,94,,825,2385,212,819,23,11763,2916
Algeria,3256,,419,,1479,1358,40,74,10,6500,148
Thailand,2922,15,51,,2594,277,61,42,0.7,142589,2043
Kuwait,2892,,19,,656,2217,58,677,4,,
Kazakhstan,2601,,25,,646,1930,31,139,1,196298,10454
Bahrain,2588,,8,,1160,1420,2,1521,5,110379,64869
Greece,2506,,130,,577,1799,47,240,12,63087,6053
Hungary,2500,57,272,10,485,1743,61,259,28,63505,6574
Croatia,2016,,54,,1034,928,21,491,13,30913,7530
Oman,1998,93,10,,333,1655,3,391,2,,
Uzbekistan,1865,3,8,,707,1150,8,56,0.2,210000,6274
Iceland,1790,,10,,1570,210,4,5246,29,45971,134716
Iraq,1763,,86,,1224,453,,44,2,68224,1696
Armenia,1746,69,28,,833,885,10,589,9,17931,6051
Estonia,1635,,46,,228,1361,6,1233,35,47331,35680
Azerbaijan,1617,,21,,1080,516,15,159,2,120479,11883
Cameroon,1518,,53,,697,768,28,57,2,,
Bosnia and Herzegovina,1486,,57,,592,837,4,453,17,24676,7521
New Zealand,1470,9,18,,1142,310,1,305,4,120981,25088
Afghanistan,1463,,47,,188,1228,7,38,1,7425,191
Lithuania,1438,12,41,,467,930,17,528,15,104488,38382
Slovenia,1388,,81,,219,1088,23,668,39,48179,23175
Slovakia,1373,,17,,386,970,7,251,3,66089,12105
North Macedonia,1367,,59,,374,934,14,656,28,14758,7084
Cuba,1337,,51,,437,849,11,118,5,37991,3354
Bulgaria,1290,43,55,,205,1030,37,186,8,27000,3886
Ghana,1279,,10,,134,1135,4,41,0.3,88188,2838
Nigeria,1182,,35,,222,925,2,6,0.2,10061,49
Ivory Coast,1077,,14,,419,644,,41,0.5,,
Hong Kong,1038,,4,,753,281,4,138,0.5,145640,19426
Djibouti,1008,,2,,373,633,,1020,2,11431,11570
Guinea,996,,7,,208,781,,76,0.5,,
Tunisia,939,,38,,207,694,19,79,3,20408,1727
Bolivia,866,59,46,2,54,766,3,74,4,4995,428
Latvia,812,8,12,,267,533,6,430,6,47671,25274
Cyprus,810,,14,,148,648,15,671,12,43542,36064
Andorra,738,,40,,344,354,17,9552,518,1673,21653
Albania,712,,27,,403,282,4,247,9,7015,2438
Diamond Princess,712,,13,,645,54,4,,,,
Lebanon,704,,24,,143,537,44,103,4,26467,3878
Costa Rica,693,,6,,242,445,7,136,1,12467,2447
